,ID,Mean_Mileage
0,4534632,56894
1,4540738,72162
2,4575709,49752
3,4581435,19779
4,4590841,47912
5,4612088,74337
6,4643610,101463
7,4678073,116250
8,4705290,20100
9,4706519,25309
10,4751649,60611
11,4770381,19423
12,4790086,78432
13,4799736,411428
14,4799748,71500
15,4800833,176811
16,4804259,124414
17,4805302,57804
18,4806858,28125
19,4808836,69833
20,4809835,12303
21,4810626,63956
22,4810656,19779
23,4813622,122238
24,4815958,71914
25,4815968,103147
26,4816208,27639
27,4818372,72104
28,4818602,19743
29,4820456,53321
30,4820591,77865
31,4820644,65197
32,4821521,78432
33,4821916,56341
34,4823406,80555
35,4823922,86351
36,4824248,40338
37,4827139,67611
38,4827371,52187
39,4831190,77865
40,4831915,24307
41,4832967,48432
42,4833006,107721
43,4833598,67361
44,4834280,100000
45,4835046,79284
46,4835914,108347
47,4841451,70548
48,4841475,97159
49,4841644,53221
50,4842940,78643
51,4842949,9571
52,4844837,58263
53,4845145,19779
54,4845222,37476
55,4845391,70158
56,4846689,65733
57,4848505,103438
58,4849836,77387
59,4851624,67611
60,4852233,56341
61,4854135,46596
62,4856577,79334
63,4857581,79284
64,4857936,65935
65,4861083,57650
66,4861097,60811
67,4861783,49825
68,4864596,79980
69,4864762,19779
70,4866015,107199
71,4866157,96000
72,4866217,55826
73,4866788,65081
74,4867835,38831
75,4867861,64832
76,4868434,42531
77,4868572,84345
78,4868720,87534
79,4870878,44215
80,4872325,19779
81,4872572,115000
82,4872657,10377
83,4872813,19600
84,4873242,47222
85,4873303,120
86,4873702,129999
87,4873732,56414
88,4874044,10377
89,4874154,91634
90,4874851,112500
91,4875329,41411
92,4875652,37840
93,4876787,58619
94,4877637,44890
95,4878180,77218
96,4878856,60579
97,4879119,11056
98,4879888,92608
99,4879966,20149
100,4880900,52908
101,4880958,43917
102,4880980,13093
103,4880984,66659
104,4881104,114381
105,4882894,27051
106,4883263,19962
107,4883397,72300
108,4883897,28490
109,4883944,74000
110,4884035,100195
111,4885064,73438
112,4885363,28844
113,4885378,53784
114,4885468,56250
115,4886118,37419
116,4886126,81644
117,4886758,101509
118,4887964,20917
119,4890556,107199
120,4891160,48746
121,4892197,18912
122,4892563,42000
123,4892782,78203
124,4893508,12800
125,4893639,45397
126,4894684,53940
127,4895928,54767
128,4895995,90000
129,4896323,52503
130,4896728,27051
131,4896788,106875
132,4896965,29293
133,4898003,77333
134,4898030,64832
135,4898199,13213
136,4898459,65733
137,4898635,55311
138,4898683,41007
139,4900647,77387
140,4901810,122238
141,4902611,50230
142,4903355,19779
143,4903507,43744
144,4903526,13653
145,4904151,28032
146,4904358,58927
147,4904872,86351
148,4905008,68591
149,4905078,54706
150,4905444,103888
151,4905486,36381
152,4905592,57965
153,4905646,46627
154,4905860,86126
155,4906733,107044
156,4906803,77865
157,4907024,59365
158,4907341,90937
159,4907365,84189
160,4907483,50390
161,4907822,43081
162,4908466,37938
163,4908748,42978
164,4908949,54232
165,4909222,126438
166,4909239,28135
167,4909332,65364
168,4909456,43522
169,4909602,56315
170,4909712,20339
171,4910274,27117
172,4910321,52521
173,4910377,19600
174,4910473,50363
175,4910897,56814
176,4911045,11024
177,4911394,58781
178,4913925,57271
179,4914370,71299
180,4915288,57437
181,4915684,85003
182,4915685,84078
183,4915758,52798
184,4915806,116250
185,4915838,93369
186,4916099,77387
187,4916147,20533
188,4916265,91165
189,4916305,6621
190,4916379,27962
191,4916427,77956
192,4916435,78821
193,4916607,44403
194,4917469,100825
195,4917640,57525
196,4918391,59936
197,4918445,61045
198,4918743,20378
199,4919059,53079
200,4919208,98461
201,4919250,86351
202,4919332,87534
203,4919569,95600
204,4920008,76483
205,4920152,53221
206,4920821,53767
207,4921211,64832
208,4921537,54679
209,4921813,69934
210,4921909,102661
211,4921928,128960
212,4921973,76262
213,4922029,87534
214,4923163,59365
215,4923422,159512
216,4923664,6551
217,4923856,10000
218,4924388,36137
219,4925662,53213
220,4925769,18837
221,4925947,78947
222,4926036,113723
223,4928266,86261
224,4928305,95172
225,4928451,78260
226,4928674,85734
227,4928717,381818
228,4929194,139926
229,4929372,89500
230,4929484,86261
231,4930076,198000
232,4930083,43833
233,4930118,67547
